SID,NAME,BASIN
1983271N12242,OCTAVE,EP
1983271N18118,GEORGIA,WP
1983274N12251,PRISCILLA,EP
1983274N15119,UNNAMED,WP
1983274N18089,UNNAMED,NI
1983276N06130,HERBERT,WP
1983279N04140,JOE,WP
1983279N17148,IDA,WP
1983281N12256,RAYMOND,EP
1983282N09155,KIM,WP
1983283N13230,SONIA,EP
1983285N09260,TICO,EP
1983287N09164,LEX,WP
1983287N19091,HERBERT,NI
1983295S08089,OSCAR,SI
1983299N07172,MARGE,WP
1983301N11119,UNNAMED,WP
1983306N08259,VELMA,EP
1983309N10091,UNNAMED,NI
1983311N15161,NORRIS,WP
1983315S06090,PEARL,SI
1983317N12153,ORCHID,WP
1983319N05157,UNNAMED,WP
1983321N11111,PERCY,WP
1983324S08073,UNNAMED,SI
1983325N08148,RUTH,WP
1983330S11113,QUENTON,SI
1983334N09142,SPERRY,WP
1983339N13257,WINNIE,EP
1983339S10065,ANDRY,SI
1983343S14148,FRITZ,SP
1983347N06154,THELMA,WP
1983352N08129,UNNAMED,WP
1983353S06130,ESTHER,SI
1983353S08070,BAKOLY,SI
1983356N08081,UNNAMED,NI
1983359S13083,SHARON,SI
1983360S13174,ATU,SP
1984002S14108,TIM,SI
1984005S15044,CABOTO,SI
1984011S18149,GRACE,SP
1984016S15073,DOMOINA,SI
1984020S11077,EDOARA,SI
1984022S08086,FANJA:VIVIENNE,SI
1984025S14073,GALY,SI
1984032S15160,BETI,SP
1984033S12115,WILLY,SI
1984035S09101,ANNETTE:JAMINY,SI
1984035S15152,HARVEY,SP
1984038S12073,HAJA,SI
1984041S17042,IMBOA,SI
1984048S16120,BOBBY,SI
1984049S20076,UNNAMED,SI
1984051S17147,INGRID,SP
1984051S20163,UNNAMED,SP
1984053S30068,JAMINY,SI
1984057S14124,CHLOE,SI
1984062S12131,FERDINAND,SI
1984066S12151,JIM,SP
1984067S09101,DARYL,SI
1984076S13173,CYRIL,SP
1984077S12149,KATHY,SP
1984083S16174,UNNAMED,SP
1984094S10080,KAMISY,SI
1984094S14156,LANCE,SP
1984139N09260,ALMA,EP
1984145N11056,UNNAMED,NI
1984150N12266,BORIS,EP
1984158N18068,UNNAMED,NI
1984159N12116,VERNON,WP
1984164N28285,UNNAMED,
1984169N14257,CRISTINA,EP
1984169N20137,WYNNE,WP
1984171N20266,UNNAMED,
1984177N10254,DOUGLAS,EP
1984180N10258,ELIDA,EP
1984180N16130,ALEX,WP
1984184N06139,BETTY,WP
1984186N16154,CARY,WP
1984186N16256,FAUSTO,EP
1984189N11265,GENEVIEVE,EP
1984204N21162,DINAH,WP
1984206N12312,UNNAMED,
1984207N29135,ED,WP
1984210N16249,HERNAN,EP
1984213N20089,UNNAMED,NI
1984214N12143,FREDA,WP
1984217N14264,ISELLE,EP
1984220N03145,UNNAMED,WP
1984220N37292,UNNAMED,
1984222N20115,UNNAMED,WP
1984225N18142,HOLLY,WP
1984227N18118,GERALD,WP
1984227N21135,UNNAMED,WP
1984228N15261,JULIO,EP
1984228N20091,UNNAMED,NI
1984230N09210,KELI,EP
1984230N12226,KENNA,EP
1984231N33295,UNNAMED,
1984234N16147,UNNAMED,WP
1984236N42146,HOLLY,WP
1984237N11230,LALA,EP
1984238N18137,JUNE,WP
1984239N08146,IKE,WP
1984239N16246,LOWELL,EP
1984242N11309,ARTHUR,
1984244N13319,BERTHA,
1984244N37293,CESAR,
1984248N27180,MOKE,EP
1984250N17256,MARIE,EP
1984251N21264,UNNAMED,
1984253N29283,DIANA,
1984255N25173,KELLY,WP
1984258N20264,EDOUARD,
1984259N19245,NORBERT,EP
1984260N14339,FRAN,
1984261N29295,GUSTAV,
1984262N14259,ODILE,EP
1984267N18120,LYNN,WP
1984267N31302,HORTENSE,
1984270N13262,POLO,EP
1984270N19141,NINA,WP
1984270N22147,MAURY,WP
1984270N23287,ISIDORE,
1984277N07151,OGDEN,WP
1984281N13146,PHYLLIS,WP
1984281N24291,JOSEPHINE,
1984282N11263,RACHEL,EP
1984283N09139,ROY,WP
1984284N11116,SUSAN,WP
1984285N17089,UNNAMED,NI
1984290N06153,THAD,WP
1984291N13130,WARREN,WP
1984292N08151,UNNAMED,WP
1984294N04163,VANESSA,WP
1984299N18127,UNNAMED,WP
1984299N26289,UNNAMED,
1984302N00149,AGNES,WP
1984305N13262,SIMON,EP
1984311N15291,KLAUS,
1984313N14154,BILL,WP
1984314N09088,UNNAMED,NI
1984314S08081,UNNAMED,SI
1984317N04164,CLARA,WP
1984325S15052,ANETY,SI
1984329N27281,UNNAMED,
1984332N08086,UNNAMED,NI
1984336N05156,DOYLE,WP
1984337S11082,BOBALAHY,SI
1984339S05102,EMMA,SI
1984343S10132,UNNAMED,SI
1984348N35300,LILI,
1984355S16129,FRANK,SI
1984361S08178,UNNAMED,SP
1984361S12146,MONICA,SP
1984362S11165,UNNAMED,SP
1985004N04131,FABIAN,WP
1985005N04157,ELSIE,WP
1985009S11072,CELESTINA,SI
1985009S12182,DRENA,SP
1985012S11085,UNNAMED,SI
1985012S16161,ERIC,SP
1985013N11131,FABIAN,WP
1985014S16151,NIGEL,SP
1985017S15146,ODETTE,SP
1985025S09073,DITRA,SI
1985025S15203,FREDA,SP
1985026S16126,GERTIE,SI
1985033S12157,UNNAMED,SP
1985034S12082,ESITERA,SI
1985040S17054,ESITERA,SI
1985041S14129,HUBERT,SI
1985042S08101,ISOBEL,SI
1985042S18060,GERIMENA,SI
1985043S16042,FELIKSA,SI
1985046S09128,JACOB,SI
1985049S12143,PIERRE,SP
1985050S12076,UNNAMED,SI
1985051S11135,REBECCA,SP
1985060S11112,KIRSTY,SI
1985062S15170,GAVIN,SP
1985065S09118,LINDSAY,SI
1985070S17175,HINA,SP
1985078S14138,SANDY,SP
1985086S13152,TANYA,SP
1985097S09076,HELISAONINA,SI
1985100S07104,MARGOT,SI
1985101S10136,GRETEL,SP
1985110N12127,UNNAMED,WP
1985136N07129,GAY,WP
1985142N16089,UNNAMED,NI
1985148N15067,UNNAMED,NI
1985157N16259,ANDRES,EP
1985158N10267,BLANCA,EP
1985159N09241,CARLOS,EP
1985162N05154,HAL,WP
1985166N19111,UNNAMED,WP
1985168N05156,IRMA,WP
1985168N22122,UNNAMED,WP
1985177N10258,DOLORES,EP
1985178N10236,ENRIQUE,EP
1985179N21115,UNNAMED,WP
1985183N08136,UNNAMED,WP
1985184N15258,FEFA,EP
1985189N12260,GUILLERMO,EP
1985197N29296,ANA,
1985199N08143,JEFF,WP
1985199N18248,HILDA,EP
1985201N12256,JIMENA,EP
1985202N13226,IGNACIO,EP
1985202N26275,BOB,
1985210N14257,KEVIN,EP
1985211N12237,LINDA,EP
1985212N22148,KIT,WP
1985213N20088,UNNAMED,NI
1985217N30075,UNNAMED,NI
1985218N21088,UNNAMED,NI
1985219N14254,MARTY,EP
1985220N18128,LEE,WP
1985221N18111,UNNAMED,WP
1985222N32280,CLAUDETTE,
1985224N18279,DANNY,
1985226N19088,UNNAMED,NI
1985226N23126,MAMIE,WP
1985227N16149,NELSON,WP
1985231N16142,ODESSA,WP
1985231N25121,UNNAMED,WP
1985232N16248,NORA,EP
1985233N15196,UNNAMED,EP
1985234N13258,OLAF,EP
1985236N23125,PAT,WP
1985237N21130,RUBY,WP
1985240N08148,TESS,WP
1985240N09198,SKIP,EP
1985240N16256,PAULINE,EP
1985240N20286,ELENA,
1985244N14254,RICK,EP
1985244N27124,UNNAMED,WP
1985249N13265,SANDRA,EP
1985252N20333,UNNAMED,
1985255N12300,UNNAMED,
1985256N13146,VAL,WP
1985259N12262,TERRY,EP
1985259N24289,FABIAN,
1985260N13115,WINONA,WP
1985260N13336,GLORIA,
1985261N13243,VIVIAN,EP
1985262N18090,UNNAMED,NI
1985265N30286,HENRI,
1985265S10080,UNNAMED,SI
1985266N25077,UNNAMED,NI
1985267N08133,ANDY,WP
1985268N03161,BRENDAN,WP
1985268N16126,ANDY,WP
1985274N14084,UNNAMED,NI
1985279N20072,UNNAMED,NI
1985280N15254,WALDO,EP
1985280N18291,ISABEL,
1985281N02144,CECIL,WP
1985282N12090,UNNAMED,NI
1985283N07115,UNNAMED,WP
1985284N05159,DOT,WP
1985286N05162,ELLIS,WP
1985287N13093,UNNAMED,NI
1985294N10122,FAYE,WP
1985297N10201,NELE,EP
1985298N12249,XINA,EP
1985299N25270,JUAN,
1985316N13081,UNNAMED,NI
1985317N12082,UNNAMED,NI
1985320N21296,KATE,
1985323N05107,GORDON,WP
1985329S09104,NICHOLAS,SI
1985342N11283,UNNAMED,
1985343N04090,UNNAMED,NI
1985346S12145,UNNAMED,SP
1985347N07155,HOPE,WP
1985347N09114,IRVING,WP
1985356S20040,ALIFREDY,SI
1986005S15043,BEROBIA,SI
1986006N03087,UNNAMED,NI
1986007S07080,DELIFINA,SI
1986007S09098,OPHELIA,SI
1986007S11055,COSTA,SI
1986009S22040,UNNAMED,SI
1986011S12130,UNNAMED,SI
1986017S12131,HECTOR,SI
1986018S14108,PANCHO,SI
1986021S16140,VERNON,SP
1986027S13145,WINIFRED,SP
1986028N04158,UNNAMED,WP
1986029N04152,JUDY,WP
1986029S13069,ERINESTA,SI
1986036S10082,FILOMENA,SI
1986036S16187,IMA,SP
1986036S19216,JUNE,SP
1986038S13158,KELI,SP
1986048S16116,RHONDA,SI
1986049S18043,GISTA,SI
1986052S13114,SELWYN,SI
1986056S09130,TIFFANY,SI
1986060S16158,LUSI,SP
1986061S13124,VICTOR,SI
1986062S15150,ALFRED,SP
1986067S11080,HONORININA,SI
1986070S13082,IARIMA,SI
1986085S13091,JEFOTRA,SI
1986094N06138,UNNAMED,WP
1986095S11105,ALISON:KRISOSTOMA,SI
1986099S12168,MARTIN,SP
1986103S19089,KRISOSTOMA,SI
1986105S12174,UNNAMED,SP
1986111S08156,MANU,SP
1986112N02152,KEN,WP
1986124S05090,BILLY:LILA,SI
1986129S12094,LILA,SI
1986130S15088,LILA,SI
1986134N08149,LOLA,WP
1986135S07160,NAMU,SP
1986136N18114,MAC,WP
1986142N13253,AGATHA,EP
1986156N26284,ANDREW,
1986169N07152,NANCY,WP
1986169N09247,BLAS,EP
1986172N04161,OWEN,WP
1986175N18112,UNNAMED,WP
1986175N26273,BONNIE,
1986176N11262,CELIA,EP
1986179N11175,PEGGY,WP
1986185N14256,DARBY,EP
1986190N11162,ROGER,WP
1986198N10245,ESTELLE,EP
1986200N17111,UNNAMED,WP
1986205N24305,UNNAMED,
1986206N11265,FRANK,EP
1986206N23127,UNNAMED,WP
1986209N12213,UNNAMED,EP
1986209N13139,SARAH,WP
1986211N12219,UNNAMED,EP
1986212S08085,UNNAMED,SI
1986214N09234,GEORGETTE,EP
1986216N24267,UNNAMED,
1986221N15115,UNNAMED,WP
1986221N17163,TIP,WP
1986221N22070,UNNAMED,NI
1986223N18088,UNNAMED,NI
1986225N17134,VERA,WP
1986226N30276,CHARLEY,
1986228N19120,WAYNE,WP
1986229N17256,HOWARD,EP
1986229N18130,UNNAMED,WP
1986231N21088,UNNAMED,NI
1986232N15246,ISIS,EP
1986233N10263,JAVIER,EP
1986240N24160,UNNAMED,WP
1986241N18248,KAY,EP
1986243N13326,UNNAMED,
1986245N18274,UNNAMED,
1986250N11308,DANIELLE,
1986252N06153,ABBY,WP
1986254N22309,EARL,
1986257N14230,LESTER,EP
1986259N07170,BEN,WP
1986259N13256,MADELINE,EP
1986262N12266,NEWTON,EP
1986264N12221,ORLENE,EP
1986267N21088,UNNAMED,NI
1986270N05178,CARMEN,WP
1986271N12267,PAINE,EP
1986275N10134,DOM,WP
1986276N07177,ELLEN,WP
1986283N10179,FORREST,WP
1986287N09141,GEORGIA,WP
1986289N10267,ROSLYN,EP
1986302N05178,HERBERT,WP
1986308N11090,UNNAMED,NI
1986309N07162,IDA,WP
1986311N12072,UNNAMED,NI
1986316N06146,JOE,WP
1986323N23297,FRANCES,
1986325S10171,OSEA,SP
1986328N08110,UNNAMED,WP
1986330N05173,KIM,WP
1986333N04179,LEX,WP
1986334N06113,UNNAMED,WP
1986343N05176,MARGE,WP
1986346S12173,PATSY,SP
1986353N03178,NORRIS,WP
1986356S07183,RAJA,SP
1986360S13195,SALLY,SP
1987001S14055,UNNAMED,SI
1987006S06076,UNNAMED,SI
1987007N06162,ORCHID,WP
1987009S08095,UNNAMED,SI
1987015S09187,TUSI,SP
1987015S16125,CONNIE,SI
1987016S13066,ALININA,SI
1987019S12140,IRMA,SP
1987030N06089,UNNAMED,NI
